Item No.,Description,Unit,Rate
6.31,Brick wo bricks o brick w wide 12 sand). rk with common burnt clay machine moulded perforated modular f class designation 12.5 conforming to IS : 2222 in exposed ork including making horizontal and vertical grooves 10 mm mm deep complete in cement mortar 1:6 (1 cement : 6 coarse,,
6.31.1,From ground level upto plinth level,cum,6240.25
6.31.2,Above plinth level upto floor V level,cum,7870.35
6.32,Brick w designa in : ork with clay flyash F.P.S. (non modular) brick of class tion 7.5 in superstructure above plinth level up to floor five level,,
6.32.1,Cement mortar 1:4 (1 cement : 4 coarse sand),cum,8414.65
6.32.2,Cement mortar 1:6 (1 cement : 6 coarse sand),cum,8190.90
6.34,"Brick w class de above p ork with non modular fly ash bricks conforming to IS:12894, signation 10 average compressive strength in super structure linth level up to floor V level in :",,
6.34.1,Cement mortar 1:4 (1 cement : 4 coarse sand),cum,7873.20
6.34.2,Cement mortar 1:6 (1 cement : 6 Coarse sand),cum,7676.30
6.35,"Brick w conform strength ork with modular calcium silicate bricks machine moulded ing to IS:4139, class designation 10 average compressive in super structure above plinth level up to floor V level in :",,
6.35.1,Cement mortar 1:4 (1 cement : 4 coarse sand),cum,8589.95
6.35.2,Cement mortar 1:6 (1 cement : 6 Coarse sand),cum,8393.05
6.36,Brick w (Confor sand) in ork with modular extruded brunt fly ash clay sewer bricks ming to IS: 4885 ) in cement mortar 1:4 (1 cement : 4 coarse foundation and plinth :,,
6.36.1,Cement Mortar 1:4 ( 1 cement : 4 coarse sand),cum,6528.70
6.37,Brick w (confor mortar 1 ork with modular extruded brunt fly ash clay sewer bricks ming to IS : 4885) in arches in foundation and plinth in cement :3 ( 1 cement : 3 fine sand).,cum,11763.25
6.38,Providin 100 mm kg/ cum plinth le sand). T dia M.S g and laying Autoclaved Aerated concrete (AAC) blocks masonry / 125 mm thick with Grade-I AAC blocks of density 551 to 650 conforming to IS: 2185 (Part 3) in super structure above vel up to floor V level in cement mortar 1:4 (1 cement : 4 coarse he rate includes providing and placing in position 2 Nos 6 mm . bars at every third course of masonry work.,cum,8890.80
