Item No.,Description,Unit,Rate
6-45,"dqlhZ ry ls Q”kZ ikap ry rd Åij dh ljapuk esa Hkkjrh; ekud % 12894 ds vuq:Ik 10 oxZ uke dh vçek.kh; QykbZ ,W""k pwuk ftIle ¼,Q , ,y th bZaVksa½ ls vk/kh bZaV dh fpukbZ dk;Z",,
,6-45-1 lhesaV elkyk 1%3 ¼1 lhesaV % 3 eksVh jsr½,?ku eh,994-75
,6-45-2 lhesaV elkyk 1%4 ¼1 lhesaV % 4 eksVh jsr½,?ku eh,969-65
6-47,"dqlhZ ry ls Åij ikaWp ry dh lajpuk esa vkWVksDysoM ,jh;sfVM lhesaV CykWd eSlujh 150 feeh@230feeh@300feeh eksVk ,-lh-lh CykWd vkj lh lh cSUM ngyksa Lrj o ljnyksa Lrj ij ikWfyej :ikarkfjr vkalatd elkys lEiw.kZ izHkkjh vfHk;Urk ds funsZ”kkuqlkj OoLFkk djuk vkSj yxkukA ¼vkj lh lh cSUM vkSj izcyu dk Hkqxrku vyx ls fd;k tk;sxk½",?ku eh,6994-15
6.10,"Brick work in gauged arches in superstructure above plinth level and upto floor five level in cement mortar 1:3 (1 cement : 3 coarse sand) including centering and shuttering complete, for span up to 6 meters with common burnt clay F.P.S. (non modular) bricks of class designation 7.5.",cum,16714.70
6.11,"Extra for additional cost of centering for arches exceeding 6m span including all shuttering, bolting, wedging and removal (Area of the soffit to be measured).",sqm,575.25
,HALF BRICK MASONRY,,
6.12,Half brick masonry with common burnt clay F.P.S. (non modular) bricks of class designation 7.5 in foundations and plinth in :,,
,6.12.1 Cement mortar 1:3 (1 cement : 3 coarse sand),sqm,862.90
,6.12.2 cement mortar 1:4 (1 cement : 4 coarse sand),sqm,837.85
6.13,Half brick masonry with common burnt clay F.P.S. (non modular) bricks of class designation 7.5 in superstructure above plinth level up to floor V level.,,
,6.13.1 Cement mortar 1:3 (1 cement :3 coarse sand),sqm,1043.10
,6.13.2 Cement mortar 1:4 (1 cement :4 coarse sand),sqm,1018.05
6.14,"Extra for half brick masonry in superstructure, above floor V level for every four floors or part thereof by mechanical means.",sqm,12.60
6.15,Extra for providing and placing in position 2 Nos 6mm dia. M.S. bars at every third course of half brick masonry. BRICK TILE WORK,sqm,86.45
6.16,Tile brick masonry with common burnt clay F.P.S. (non modular) tile bricks of class designation 10 in foundation and plinth in:,,
,6.16.1 Cement mortar 1:4 (1 cement : 4 coarse sand),cum,10321.40
,6.16.2 Cement mortar 1:6 (1 cement : 6 coarse sand),cum,9963.45
6.17,Tile brick masonry with common burnt clay machine moulded tile bricks of class designation 12.5 conforming to IS : 2690 (Part I) in foundation and plinth in cement mortar 1:6 (1 cement : 6 coarse sand).,cum,9963.45
6.18,Tile brick masonry with common burnt clay F.P.S. (non modular) tile bricks of class designation 10 in superstructure above plinth level up to floor V level in cement mortar 1:6 (1 cement : 6 coarse sand).,cum,11659.70
6.20,Tile brick masonry with common burnt clay F.P.S. (non modular) tile bricks of class designation 10 in plain arch work in superstructure above plinth and upto floor five level in cement mortar 1:4 (1 cement : 4 coarse sand) including centering and shuttering complete.,cum,16791.90
6.21,Tile brick masonry with common burnt clay F.P.S. (non modular) tile bricks of class designation 10 in gauged arch work in superstructure above plinth and upto floor five level in cement mortar 1:4 (1 cement : 4 coarse sand) including centering and shuttering complete.,cum,20135.45
6.40,"Providing and laying Gypsum panel partitions 100 mm thick with water proof Gypsum panels of size 666x500x100 mm, made of calcite phosphor Gypsum fixed with tongue and groove, jointed with bonding plaster as per manufacturer’s specifications in superstructure above plinth level up to floor V level. Gypsum blocks will have a minimum compressive strength of 9.3 kg/cm2",sqm,870.10
6.41,Extra for Gypsum panel Partitions in superstructure above floor V level for every four floors or part thereof.,sqm,149.30
6.44,Brick edging 7cm wide 11.4 cm deep to plinth protection with common burnt clay F.P.S. (non modular) bricks of class designation 7.5 including grouting with cement mortar 1:4 (1 cement : 4 fine sand).,metre,55.80
6.45,"Half brick masonry with non modular fly ash bricks of class designation 10, conformingio IS :12894, in super structure above plinth and upto floor V level.",,
,6.45.1 Cement mortar 1 : 3 (1 cement : 3 coarse sand),sqm,994.75
,6.45.2 Cement mortar 1 : 4 (1 cement : 4 coarse sand),sqm,969.65
6.47,Providing and laying Autoclaved Aerated concrete (AAC) blocks masonry with 150mm/230mm/300 mm thick with Grade-I AAC blocks of density 551 to 650 kg/ cum conforming to IS: 2185 (Part 3) in super structure above plinth level up to floor V level with RCC band at sill level and lintel level with approved block laying polymer modified adhesive mortar all complete as per direction of Engineer-in-Charge. (The payment of RCC band and reinforcement shall be made for seperately).,cum,6994.15
No.,,,
6.22,Tile brick masonry work 5 cm thick with common burnt clay F.P.S. (non modular) tile bricks of class designation 10 in cement mortar 1:3 (1 cement : 3 coarse sand) in superstructure above plinth and upto floor five level.,sqm,841.85
,HONEY COMB WORK,,
6.23,Honey-comb brick work 10 / 11.4 cm thick with common burnt clay bricks of class designation 7.5 in super structure above plinth level,,
,upto floor V level with cement mortar 1:4 (1 cement : 4 coarse sand).,sqm,645.95
6.24,Extra for laying brick work in or under water and/or liquid mud including cost of pumping or bailing out water and removing slush etc. complete.,cum per metre depth,905.50
,"NOTE :-The quantity will be calculated by multiplying the depth measured from sub - soil water level up to the centre of gravity of brick work under sub - soil water with the quantity of brick work in cum. executed under the sub - soil water. The depth of centre of gravity shall be reckoned correct to 0.1 m, 0.05 m or more shall be taken as 0.1 m and less than 0.05 m ignored.",,
6.25,Extra for laying brick work in or under foul position. EXPOSED BRICK WALL,cum,385.25
6.26,Brick work with common burnt clay selected F.P.S. (non modular) bricks of class designation 7.5 in exposed brick work including making horizontal and vertical grooves 10 mm wide 12 mm deep complete in cement mortar 1:6 (1 cement : 6 coarse sand),,
,6.26.1 From ground level upto plinth level,cum,6849.50
,6.26.2 Above plinth level upto floor V level,cum,8565.95
6.27,Brick work with common burnt clay modular bricks of class designation 7.5 in exposed brick work including making horizontal and vertical grooves 10mm wide 12 mm deep complete in cement mortar 1:6 (1 cement : 6 coarse sand).,,
,6.27.1 From ground level upto plinth level,cum,5588.65
,6.27.2 Above plinth level upto floor V level,cum,7218.75
6.28,Brick work with common burnt clay machine moulded modular bricks of class designation 12.5 in exposed brick work including making horizontal and vertical grooves 10 mm wide 12 mm deep complete in cement mortar 1:6 (1 cement : 6 coarse sand).,,
,6.28.1 From ground level upto plinth level,cum,6500.85
,6.28.2 Above plinth level upto floor V level,cum,8131.00
6.29,Brick work with common burnt clay machine moulded F.P.S. (non modular) bricks of class designation 12.5 in exposed brick work including making horizontal and vertical grooves 10 mm wide 12 mm deep complete in cement mortar 1:6 (1 cement : 6 coarse sand).,,
,6.29.1 From ground level upto plinth level,cum,6769.65
,6.29.2 Above plinth level upto floor V level,cum,8339.65
